feature,domain,mean_imp,std_imp,median_imp,cv_imp,presence_pct,stability_score,passes_presence,psi_train_val,adjusted_score,excluded_hard_drift,selected_final
precipitacion_sum_lag2,clima_meteo,0.293825,0.033523,0.298208,0.1141,1.0,0.897592,True,0.009010871825584854,0.8895761433927895,False,True
precipitacion_sum_lag5,clima_meteo,0.121373,0.014513,0.123835,0.1196,1.0,0.893196,True,0.007035965733252237,0.8869554121134472,False,True
dow_cos,calendario,0.247733,0.031967,0.258735,0.129,1.0,0.88571,True,0.0004594264164637685,0.885303268291965,False,True
atenciones_vs_week,atenciones,0.165774,0.017215,0.169128,0.1038,1.0,0.905922,True,0.04179080538977847,0.8695814892137159,False,True
no2_mean_delta1,clima_contaminacion,0.081331,0.012201,0.077462,0.15,1.0,0.869555,True,0.01674146221917907,0.8552370807246079,False,True
temperatura_mean_delta1,clima_meteo,0.107369,0.01583,0.103044,0.1474,1.0,0.871509,True,0.025704541445850396,0.8496686567961436,False,True
temperatura_max,clima_meteo,0.378963,0.051583,0.371426,0.1361,1.0,0.880191,True,0.04693498018169713,0.8407312934058632,False,True
ozono_mean_delta1,clima_contaminacion,0.056884,0.009,0.058822,0.1582,1.0,0.863402,True,0.04386123350716925,0.8271233496229555,False,True
atenciones_trend_7_14,atenciones,0.476622,0.046178,0.467724,0.0969,1.0,0.911672,True,0.10232785884133258,0.827042510708445,False,True
humedad_mean_lag3,clima_meteo,0.405228,0.040877,0.400643,0.1009,1.0,0.908369,True,0.09916116087714563,0.8264202123691389,False,True
no2_mean_lag5,clima_contaminacion,0.344032,0.046198,0.344388,0.1343,1.0,0.881613,True,0.07410896785019877,0.8207854383382773,False,True
atenciones_lag10_norm,atenciones,0.334459,0.042918,0.328925,0.1283,1.0,0.886273,True,0.08469395733277701,0.8170719436653939,False,True
atenciones_trend_3_7,atenciones,0.121158,0.019693,0.122436,0.1625,1.0,0.860184,True,0.05688906845003448,0.8138829567624258,False,True
atenciones_std3,atenciones,0.07603,0.013701,0.075374,0.1802,1.0,0.847305,True,0.04160526994240481,0.8134607460721195,False,True
pm2_5_mean_lag2,clima_contaminacion,0.120306,0.020601,0.119459,0.1712,1.0,0.853797,True,0.05306733141528029,0.81077151909416,False,True
humedad_mean_std7,clima_meteo,0.261297,0.033881,0.258605,0.1297,1.0,0.885218,True,0.0927482968435645,0.81008408117128,False,True
pm10_mean_delta1,clima_contaminacion,0.110737,0.020352,0.107515,0.1838,1.0,0.844748,True,0.04446919826470731,0.8087821080827214,False,True
pm2_5_mean_delta1,clima_contaminacion,0.105584,0.020473,0.105036,0.1939,1.0,0.837588,True,0.037903401655776756,0.8069999565121265,False,False
no2_min,clima_contaminacion,0.060142,0.012252,0.058578,0.2037,1.0,0.830755,True,0.037559443653053644,0.8006818357077126,False,True
atenciones_pct_change_14,atenciones,0.145165,0.021375,0.146026,0.1472,1.0,0.871653,True,0.08876796079397356,0.800586563333803,False,True
humedad_std,clima_meteo,0.126169,0.026201,0.130111,0.2077,1.0,0.828042,True,0.0348322625280264,0.8001702594555261,False,True
atenciones_lag14_norm,atenciones,0.148111,0.021735,0.147855,0.1467,1.0,0.872032,True,0.09131834896168506,0.7990628956524729,False,True
