k,mae_val,mae_val_std_seeds,smape_val
3,13.1539,0.029,41.6555
4,12.8293,0.1063,40.165
5,12.5368,0.0478,39.447
6,12.5041,0.1134,39.2263
7,12.128,0.1491,38.1685
8,11.7693,0.0558,37.7335
9,11.9831,0.0818,37.8634
10,11.7571,0.047,37.0676
11,11.9804,0.0829,37.6592
12,11.276,0.052,34.8515
13,11.0625,0.047,34.0261
14,10.7275,0.0887,33.0793
15,10.7461,0.0818,33.1385
16,10.6013,0.0789,32.7351
17,10.594,0.0761,32.7943
18,10.7423,0.1198,33.3554
19,10.7797,0.0379,33.6108
20,10.7168,0.0923,33.3706
21,10.5487,0.0961,32.6253
22,10.5716,0.1502,32.6476
23,10.4525,0.1222,32.5861
24,10.9753,0.1235,33.8061
25,10.3679,0.0683,32.1632
26,10.2553,0.0911,31.7947
27,10.3117,0.1208,31.9131
28,10.4685,0.0497,32.4248
29,10.3621,0.0785,32.0687
30,10.0778,0.1071,31.2873
31,10.0043,0.0602,31.0336
32,10.0885,0.0993,31.2941
33,9.9993,0.1321,30.9305
34,10.125,0.1035,30.7629
35,10.0582,0.0692,30.6585
36,10.0105,0.0859,30.4664
37,10.1213,0.0562,30.778
38,10.1054,0.0895,30.7365
39,10.2203,0.1425,31.0442
40,10.127,0.1099,30.7712
41,9.962,0.1043,30.348
42,10.0212,0.101,30.4601
43,10.0575,0.1669,30.5235
44,9.8991,0.0783,30.0698
45,9.8928,0.0937,30.0928
46,9.9195,0.0386,30.1589
47,9.3754,0.1029,28.6014
48,9.4316,0.2165,28.8516
49,9.5229,0.0548,28.9083
50,9.4204,0.069,28.7242
51,9.4619,0.0755,28.8137
52,9.4913,0.1267,28.917
53,9.5279,0.143,29.0757
54,9.3749,0.0782,28.6922
55,9.4373,0.094,28.9627
56,9.3727,0.1247,28.6058
57,9.3598,0.1218,28.6467
58,9.3803,0.0568,28.8132
59,9.3923,0.1082,28.6846
60,9.26,0.1027,28.6011
61,9.197,0.1272,28.4548
62,9.1191,0.0718,28.3193
63,9.0974,0.1367,28.2161
64,9.1625,0.1123,28.3515
65,9.1115,0.1024,28.3142
66,9.0553,0.0786,28.0368
67,9.098,0.0777,28.1839
68,9.1371,0.0891,28.3806
69,9.1677,0.1069,28.4209
70,9.1184,0.0887,28.1181
71,9.1129,0.0773,28.1255
72,9.0678,0.1028,28.097
73,9.1602,0.1547,28.232
74,9.1822,0.1316,28.3289
75,9.08,0.17,28.1009
76,9.203,0.075,28.4345
77,9.2595,0.0943,28.4772
78,8.7837,0.0578,27.3183
79,8.7449,0.0291,27.1161
80,8.7826,0.2115,27.1374
81,8.8649,0.1302,27.5377
82,8.9654,0.0908,27.6972
83,8.8629,0.1072,27.4304
84,8.9772,0.1642,27.646
85,8.8788,0.0493,27.4176
86,8.889,0.0959,27.4014
87,8.9201,0.1094,27.2925
88,8.8222,0.0681,27.1531
89,8.7896,0.0767,26.9639
90,8.8038,0.059,26.9907
91,8.8194,0.0305,27.119
92,8.5917,0.045,26.3681
93,8.7737,0.0434,26.8987
94,8.7922,0.1011,27.0074
95,8.8451,0.1661,27.1107
96,8.8491,0.0634,26.9443
97,8.8013,0.0748,26.9383
98,8.8517,0.0613,27.0346
99,8.8375,0.0838,26.9947
100,8.7,0.079,26.6665
101,8.7722,0.0976,26.7612
102,8.802,0.1267,26.8631
103,8.7368,0.1217,26.7185
104,8.8314,0.1001,27.0649
105,8.8187,0.1072,26.9132
106,8.7845,0.0472,26.8333
107,8.7599,0.0683,26.647
108,8.7835,0.0846,26.7531
109,8.7682,0.1696,26.7333
110,8.7878,0.0634,26.8703
111,8.732,0.0444,26.6078
112,8.7494,0.032,26.7527
113,8.7473,0.0948,26.6877
114,8.7336,0.0353,26.7582
115,8.8083,0.1053,26.8579
116,8.81,0.073,26.8331
117,8.8778,0.0983,27.1456
118,8.8023,0.0924,26.8471
119,8.8117,0.1275,26.9011
120,8.9012,0.0865,26.9957
121,8.8202,0.1702,26.7625
122,8.841,0.0623,26.9889
