k,mae_val,mae_val_std_seeds,smape_val
3,13.2783,0.0813,42.0574
4,13.5152,0.0939,42.6573
5,13.1884,0.0871,41.7317
6,12.7486,0.0572,40.8036
7,12.1936,0.0733,39.0218
8,11.6343,0.0846,37.262
9,11.2587,0.1147,35.7779
10,11.1826,0.1138,35.5469
11,11.2044,0.0855,35.5232
12,11.1966,0.0761,35.3635
13,10.4787,0.0521,33.2781
14,10.4539,0.0912,33.1756
15,10.4907,0.0665,33.3155
16,10.3868,0.0997,32.1782
17,10.3626,0.0524,31.8679
18,10.2918,0.107,31.4938
19,10.2646,0.0685,31.4378
20,10.3846,0.0577,31.7682
21,10.4601,0.064,31.9936
22,10.2959,0.1091,31.5719
23,10.298,0.0912,31.5468
24,10.1426,0.0847,30.8337
25,10.0497,0.0642,30.6835
26,10.2415,0.0196,31.1187
27,10.014,0.0549,30.4565
28,10.0383,0.1367,30.2959
29,10.071,0.0772,30.6502
30,10.0967,0.0864,30.6248
31,10.0935,0.0914,30.7436
32,10.0419,0.1118,30.5891
33,10.03,0.1047,30.5449
34,9.9725,0.0543,30.3828
35,9.9449,0.1157,30.2305
36,9.9599,0.1176,29.9561
37,9.9107,0.0609,29.8451
38,9.8634,0.1529,29.7066
39,9.9213,0.0889,29.6663
40,9.9562,0.081,29.8242
41,10.0207,0.1156,30.1582
42,9.6554,0.063,28.9894
43,9.8034,0.1371,29.5639
44,9.8223,0.1114,29.5124
45,9.7074,0.074,29.2211
46,9.737,0.1192,29.3523
47,9.8736,0.1312,29.6366
48,9.9008,0.0751,29.6709
49,9.7534,0.1186,29.4352
50,9.7128,0.1179,29.3737
51,9.6127,0.0983,28.9885
52,9.6217,0.1119,29.2205
53,9.6865,0.0946,29.2179
54,9.667,0.101,29.2886
55,9.3989,0.0876,28.3834
56,9.5384,0.0705,28.8674
57,9.4734,0.1396,28.9105
58,9.5445,0.068,29.144
59,9.2764,0.0424,27.9765
60,9.3227,0.1436,28.1764
61,9.3478,0.0945,28.4327
62,9.0851,0.0991,27.6678
63,9.4836,0.086,28.7039
64,9.5109,0.0867,28.8345
65,9.4823,0.0862,28.6838
66,9.4353,0.079,28.5009
67,8.9802,0.0547,27.2285
68,8.8677,0.0793,26.9473
69,8.9997,0.0408,27.2436
70,8.8645,0.0512,26.87
71,8.8993,0.1098,26.9507
72,8.6007,0.0449,26.2832
73,8.6837,0.0663,26.5174
74,8.6472,0.0846,26.3837
75,8.653,0.0583,26.4638
76,8.6538,0.0469,26.3126
77,8.7092,0.0742,26.5222
78,8.6795,0.0791,26.456
79,8.6352,0.0405,26.31
80,8.6933,0.0663,26.4535
81,8.6427,0.1424,26.2466
82,8.636,0.0632,26.1892
83,8.4893,0.1092,25.7378
84,8.6815,0.1059,26.4781
85,8.6818,0.0469,26.3961
86,8.538,0.1081,26.0922
87,8.5733,0.0522,26.3366
88,8.603,0.1219,26.3528
89,8.5297,0.0678,26.1215
90,8.5982,0.07,26.3777
91,8.6393,0.0341,26.4784
92,8.5913,0.1031,26.2396
93,8.6233,0.0737,26.3158
94,8.4981,0.0828,26.0778
95,8.5302,0.0522,26.0568
96,8.4616,0.1007,25.8133
97,8.4494,0.0893,25.8849
98,8.5906,0.107,26.2796
99,8.4855,0.099,26.0007
100,8.424,0.0542,25.7576
101,8.5668,0.1084,26.141
102,8.4341,0.1116,25.8597
103,8.4208,0.0811,25.7502
104,8.4155,0.0752,25.6835
105,8.392,0.0399,25.5783
106,8.502,0.0756,25.9651
107,8.3607,0.0757,25.554
108,8.4341,0.1011,25.7376
109,8.3854,0.0574,25.6843
110,8.4147,0.1589,25.7246
111,8.3671,0.0709,25.5516
112,8.3429,0.1333,25.4982
113,8.378,0.1651,25.4957
114,8.3392,0.0823,25.4957
115,8.2752,0.1406,25.4039
116,8.261,0.0529,25.3863
117,8.2875,0.1337,25.306
118,8.3951,0.1059,25.6949
119,8.396,0.193,25.6869
120,8.4807,0.0846,25.7817
121,8.3171,0.1537,25.5102
122,8.3151,0.0592,25.315
123,8.2308,0.118,25.3104
124,8.3508,0.0646,25.4696
