feature,domain,mean_imp,std_imp,median_imp,cv_imp,presence_pct,stability_score,passes_presence,psi_train_val,adjusted_score,excluded_hard_drift,selected_final
dow,calendario,0.326845,0.036762,0.329148,0.1125,1.0,0.898896,True,0.00045409229801927236,0.8984880035177399,False,True
ozono_mean_delta1,clima_contaminacion,0.348761,0.032829,0.345835,0.0941,1.0,0.913969,True,0.04386123350716925,0.8755656122310848,False,True
no2_mean_delta1,clima_contaminacion,0.12585,0.01618,0.12497,0.1286,1.0,0.886083,True,0.01674146221917907,0.8714929339716324,False,True
ozono_mean_std7,clima_contaminacion,0.161033,0.017147,0.162426,0.1065,1.0,0.903766,True,0.05537878411258258,0.856342778161808,False,True
precipitacion_sum,clima_meteo,0.160888,0.025371,0.158836,0.1577,1.0,0.863789,True,0.009010871825584854,0.8560750177420413,False,True
precipitacion_sum_ma3,clima_meteo,0.115895,0.017552,0.119346,0.1514,1.0,0.868474,True,0.022210949966807163,0.849603499187913,False,True
atenciones_vs_week,atenciones,0.144728,0.018913,0.14425,0.1307,1.0,0.884424,True,0.04179080538977847,0.8489458684261465,False,True
atenciones_trend_3_7,atenciones,0.125597,0.014664,0.123144,0.1168,1.0,0.89545,True,0.05688906845003448,0.847250697098428,False,True
atenciones_lag14_norm,atenciones,0.312453,0.02678,0.313344,0.0857,1.0,0.921058,True,0.09131834896168506,0.8439865424019708,False,True
dow_sin,calendario,0.117038,0.023733,0.116473,0.2028,1.0,0.831405,True,0.00035789082455472553,0.8311075542321221,False,True
pm2_5_mean_lag1,clima_contaminacion,0.086723,0.012671,0.087914,0.1461,1.0,0.872514,True,0.05321586679948698,0.8284284613480007,False,True
precipitacion_sum_lag3,clima_meteo,0.111619,0.022443,0.1074,0.2011,1.0,0.832592,True,0.00719615144584022,0.8266433492669781,False,True
atenciones_std3,atenciones,0.0676,0.011285,0.067176,0.1669,1.0,0.85694,True,0.04160526994240481,0.8227108912835899,False,True
precipitacion_sum_lag2,clima_meteo,0.050681,0.01055,0.050555,0.2082,1.0,0.827704,True,0.009010871825584854,0.8203122712666617,False,True
pm2_5_mean_lag7,clima_contaminacion,0.125067,0.020326,0.125501,0.1625,1.0,0.860198,True,0.05027799326050034,0.81901935060982,False,True
temperatura_max,clima_meteo,0.88099,0.149481,0.882969,0.1697,1.0,0.854939,True,0.04693498018169713,0.8166113619124886,False,True
pm2_5_mean_lag3,clima_contaminacion,0.072108,0.012295,0.068175,0.1705,1.0,0.854334,True,0.05179818031150181,0.8122603898658386,False,True
no2_mean_lag7,clima_contaminacion,0.072778,0.010804,0.072624,0.1485,1.0,0.870734,True,0.07325185875584567,0.8113044416334745,False,True
atenciones_pct_change_14,atenciones,0.149279,0.02035,0.144823,0.1363,1.0,0.88003,True,0.08876796079397356,0.8082805810691257,False,True
pm10_mean_delta1,clima_contaminacion,0.068396,0.012676,0.067544,0.1853,1.0,0.843645,True,0.04446919826470731,0.8077260692815461,False,True
humedad_min,clima_meteo,0.461312,0.063138,0.455676,0.1369,1.0,0.879611,True,0.09212684571472876,0.8054110229515964,False,True
temperatura_mean_delta1,clima_meteo,0.048457,0.010231,0.046611,0.2111,1.0,0.825675,True,0.025704541445850396,0.8049832740684902,False,True
dow_cos,calendario,0.037579,0.009116,0.035581,0.2426,1.0,0.804781,True,0.0004594264164637685,0.8044114321383702,False,True
atenciones_lag2_norm,atenciones,0.368061,0.049724,0.357928,0.1351,1.0,0.880982,True,0.09545473839163228,0.8042157919673384,False,True
precipitacion_sum_lag5,clima_meteo,0.055623,0.013085,0.053928,0.2352,1.0,0.809555,True,0.007035965733252237,0.803898795621008,False,True
pm2_5_mean_delta1,clima_contaminacion,0.055978,0.01132,0.054305,0.2022,1.0,0.831798,True,0.037903401655776756,0.8014214026787321,False,False
atenciones_lag21_norm,atenciones,0.140003,0.017408,0.144721,0.1243,1.0,0.88941,True,0.11631614911996263,0.7967366598621349,False,True
precipitacion_max,clima_meteo,0.069732,0.017021,0.068281,0.2441,1.0,0.803796,True,0.012001897287137669,0.7942633330577018,False,True
atenciones_trend_7_14,atenciones,0.196857,0.02929,0.200819,0.1488,1.0,0.870481,True,0.10232785884133258,0.7896752250414599,False,True
pm2_5_mean_lag5,clima_contaminacion,0.032464,0.006763,0.033733,0.2083,1.0,0.827597,True,0.0499189820868539,0.788248440232065,False,True
no2_mean_lag5,clima_contaminacion,0.088656,0.016518,0.086895,0.1863,1.0,0.842942,True,0.07410896785019877,0.7847825734917069,False,True
humedad_mean_lag1,clima_meteo,0.303158,0.051101,0.297282,0.1686,1.0,0.855752,True,0.09146061506684092,0.7840429495915378,False,True
pm10_mean_lag7,clima_contaminacion,0.18616,0.024406,0.187383,0.1311,1.0,0.884092,True,0.13442786690655462,0.7793285283186936,False,False
atenciones_pct_change_7,atenciones,0.15107,0.018959,0.151148,0.1255,1.0,0.888494,True,0.14268740136437363,0.7775477343489867,False,True
no2_mean_lag3,clima_contaminacion,0.282687,0.05644,0.279814,0.1997,1.0,0.833573,True,0.07821323760229461,0.7731058856721887,False,True
atenciones_min3_norm,atenciones,0.650902,0.092209,0.64585,0.1417,1.0,0.875915,True,0.13909527704839353,0.7689567480866549,False,True
temperatura_mean_std7,clima_meteo,0.126266,0.019705,0.129611,0.1561,1.0,0.865008,True,0.13120498033644085,0.7646783872386514,False,True
pm2_5_std,clima_contaminacion,0.054541,0.011271,0.05372,0.2067,1.0,0.82874,True,0.08387188367463491,0.7646106633842508,False,True
atenciones_lag10_norm,atenciones,0.086089,0.018425,0.08765,0.214,1.0,0.823709,True,0.08469395733277701,0.7593930015296393,False,True
pm2_5_mean_lag2,clima_contaminacion,0.05597,0.014093,0.054693,0.2518,1.0,0.798859,True,0.05306733141528029,0.7586020154346308,False,True
pm10_mean_lag3,clima_contaminacion,0.151249,0.02522,0.147337,0.1667,1.0,0.857087,True,0.13267494788536907,0.7566928195950005,False,False
humedad_mean_std7,clima_meteo,0.191004,0.040065,0.191796,0.2098,1.0,0.82661,True,0.0927482968435645,0.7564505040984161,False,True
pm10_mean_lag2,clima_contaminacion,0.123607,0.020867,0.122757,0.1688,1.0,0.855567,True,0.13136802702409012,0.7562234211713165,False,False
pm2_5_mean,clima_contaminacion,0.060656,0.015853,0.05625,0.2614,1.0,0.792792,True,0.050021122741347165,0.7550248112440013,False,True
no2_min,clima_contaminacion,0.028742,0.007969,0.027751,0.2773,1.0,0.782921,True,0.037559443653053644,0.7545794169088575,False,True
atenciones_lag28_norm,atenciones,0.094864,0.021498,0.094845,0.2266,1.0,0.815253,True,0.08663925534865892,0.7502517472907032,False,True
no2_mean_lag1,clima_contaminacion,0.051636,0.012397,0.04996,0.2401,1.0,0.806401,True,0.0758957691023545,0.7495159133052448,False,True
humedad_mean,clima_meteo,0.282539,0.063318,0.270829,0.2241,1.0,0.816925,True,0.09041950859303335,0.7491841383634792,False,True
atenciones_std7,atenciones,0.136062,0.030824,0.128055,0.2265,1.0,0.815298,True,0.0921800025622488,0.7464868410768508,False,True
pm10_min,clima_contaminacion,0.039518,0.009688,0.03903,0.2451,1.0,0.803118,True,0.0758786982922399,0.7464763465201072,False,True
atenciones_lag5_norm,atenciones,0.07394,0.018807,0.070858,0.2544,1.0,0.797222,True,0.07245267707635086,0.743363336248396,False,True
pm2_5_max,clima_contaminacion,0.032264,0.009566,0.032199,0.2965,1.0,0.771307,True,0.04151529422303393,0.7405623367013461,False,False
humedad_std,clima_meteo,0.079291,0.024291,0.077669,0.3064,1.0,0.765491,True,0.0348322625280264,0.739724714544516,False,True
temperatura_std,clima_meteo,0.109416,0.028194,0.106925,0.2577,1.0,0.795113,True,0.07531459029725823,0.7394236134936104,False,True
temperatura_min,clima_meteo,0.140882,0.029488,0.147589,0.2093,1.0,0.826916,True,0.11975798058378777,0.7384774338191239,False,True
atenciones_lag3_norm,atenciones,0.125792,0.030681,0.127074,0.2439,1.0,0.803919,True,0.09003707034264292,0.7375152844547714,False,True
pm2_5_mean_std7,clima_contaminacion,0.067112,0.01281,0.067438,0.1909,1.0,0.839717,True,0.1424735467977727,0.7349990749051776,False,True
humedad_max,clima_meteo,0.090912,0.021776,0.089381,0.2395,1.0,0.806762,True,0.10671418961759571,0.7289705034673509,False,True
atenciones_lag10,atenciones,0.167431,0.029703,0.164171,0.1774,1.0,0.849326,True,0.16609872960172925,0.7283482765563768,False,True
pm10_max,clima_contaminacion,0.046091,0.009253,0.046014,0.2008,1.0,0.832808,True,0.1464397085078487,0.7264298277699602,False,False
month_sin,calendario,0.149704,0.041479,0.140026,0.2771,1.0,0.783042,True,0.07843964102336785,0.7260879238980357,False,True
humedad_mean_std14,clima_meteo,0.420964,0.068825,0.424259,0.1635,1.0,0.85948,True,0.18427405044961803,0.725744180304966,False,True
temperatura_mean_ma14,clima_meteo,1.667792,0.263056,1.594064,0.1577,1.0,0.863761,True,0.19264758132265292,0.7242382523780279,False,True
pm10_mean_lag5,clima_contaminacion,0.04402,0.009887,0.043368,0.2246,1.0,0.816598,True,0.13172102660542714,0.7215541470050867,False,False
atenciones_lag14,atenciones,0.179724,0.034188,0.177,0.1902,1.0,0.840176,True,0.16616260446423167,0.7204621351976904,False,True
atenciones_lag7_norm,atenciones,0.122909,0.034893,0.122624,0.2839,1.0,0.778883,True,0.08769921054090778,0.7160830792666155,False,True
total_atenciones,atenciones,1.010603,0.153623,0.970115,0.152,1.0,0.868047,True,0.21287285436870199,0.7156949690755647,False,True
temp_range,clima_meteo,0.113412,0.038139,0.10548,0.3363,1.0,0.748342,True,0.04774930091313975,0.7142376514570815,False,False
no2_max,clima_contaminacion,0.067195,0.021918,0.066833,0.3262,1.0,0.75404,True,0.05715820152956713,0.713270727984709,False,True
precipitacion_sum_lag1,clima_meteo,0.021383,0.008443,0.020885,0.3949,1.0,0.716918,True,0.009010871825584854,0.7105156346857725,False,True
precipitacion_sum_lag7,clima_meteo,0.020624,0.008267,0.020592,0.4008,1.0,0.713859,True,0.00833969704226721,0.7079548708574516,False,True
atenciones_ma3,atenciones,4.052889,0.252155,4.068399,0.0622,1.0,0.941428,True,0.33126578594941025,0.7071675768551416,False,True
ozono_mean_std14,clima_contaminacion,0.122567,0.031486,0.116919,0.2569,1.0,0.795616,True,0.12527466343185945,0.7070416013576034,False,True
no2_mean,clima_contaminacion,0.059678,0.019038,0.058218,0.319,1.0,0.758146,True,0.07678074511728096,0.7040857699562821,False,True
humedad_mean_lag3,clima_meteo,0.197439,0.057714,0.194173,0.2923,1.0,0.773805,True,0.09916116087714563,0.7039959448553413,False,True
atenciones_std14,atenciones,0.154433,0.028877,0.153003,0.187,1.0,0.842468,True,0.19768936870673434,0.7034111030890234,False,True
precipitacion_sum_std14,clima_meteo,0.106987,0.023405,0.104994,0.2188,1.0,0.820505,True,0.16836441600986696,0.7022680498967463,False,True
atenciones_lag1_norm,atenciones,0.083975,0.024059,0.08437,0.2865,1.0,0.777299,True,0.1107119702701582,0.6998204942465306,False,True
total_atenciones_norm,atenciones,0.149873,0.041442,0.152698,0.2765,1.0,0.783382,True,0.1198682473624088,0.6995305044544976,False,True
atenciones_std3_norm,atenciones,0.091449,0.015309,0.09146,0.1674,1.0,0.856599,True,0.22910695842392775,0.6969279558049275,False,True
atenciones_lag21,atenciones,0.078843,0.018142,0.079302,0.2301,1.0,0.812942,True,0.17302295517589666,0.6930316209183631,False,True
pm10_mean_lag1,clima_contaminacion,0.062902,0.017782,0.060959,0.2827,1.0,0.779604,True,0.1294776615291152,0.6902341025005776,False,False
atenciones_min10_norm,atenciones,0.201043,0.048599,0.200526,0.2417,1.0,0.805325,True,0.16927014700428264,0.688741606944533,False,True
atenciones_trend_14_28,atenciones,0.687084,0.073072,0.685878,0.1064,1.0,0.903873,True,0.31310282065257444,0.6883489897240499,False,True
pm10_mean,clima_contaminacion,0.045773,0.013512,0.042512,0.2952,1.0,0.772078,True,0.1294776615291152,0.6835708454426106,False,False
atenciones_lag5,atenciones,0.084367,0.020232,0.082245,0.2398,1.0,0.806579,True,0.1876523897700254,0.6791372685708015,False,True
contaminacion_total_std14,clima_contaminacion,0.071588,0.012453,0.070504,0.1739,1.0,0.851827,True,0.25734975058754184,0.677478163575372,False,True
no2_mean_ma3,clima_contaminacion,0.180174,0.057486,0.175732,0.3191,1.0,0.758116,True,0.11963361930090986,0.6771107860028012,False,True
atenciones_lag28,atenciones,0.151406,0.04074,0.154713,0.2691,1.0,0.787973,True,0.1641836118004217,0.6768459820366238,False,True
pm10_mean_std7,clima_contaminacion,0.143298,0.025738,0.147763,0.1796,1.0,0.847739,True,0.25399309201583714,0.676031634781361,False,False
temperatura_mean_std14,clima_meteo,0.077637,0.017365,0.070276,0.2237,1.0,0.817212,True,0.2088557696489979,0.6760210940940331,False,True
pm2_5_min,clima_contaminacion,0.026136,0.010376,0.024169,0.397,1.0,0.715821,True,0.06488322759395332,0.6722060987075168,False,False
pm10_std,clima_contaminacion,0.044059,0.011803,0.042492,0.2679,1.0,0.788716,True,0.18044309238885758,0.6681524972151591,False,False
atenciones_min14_norm,atenciones,0.094255,0.028139,0.087965,0.2985,1.0,0.770094,True,0.15682266830432923,0.6656975361044781,False,False
atenciones_min7_norm,atenciones,0.139602,0.042115,0.136296,0.3017,1.0,0.768237,True,0.15618743641842592,0.6644571423296229,False,False
ozono_std,clima_contaminacion,0.088369,0.02622,0.086174,0.2967,1.0,0.771182,True,0.16381317367123643,0.6626338466055633,False,True
atenciones_lag7,atenciones,0.108511,0.032838,0.105732,0.3026,1.0,0.76768,True,0.17883811779740022,0.6512174898402264,False,True
