feature,domain,mean_imp,std_imp,median_imp,cv_imp,presence_pct,stability_score,passes_presence,psi_train_val,adjusted_score,excluded_hard_drift,selected_final
dow_cos,calendario,0.191649,0.02269,0.188513,0.1184,1.0,0.89414,True,0.0004594264164637685,0.8937293971057995,False,True
dow_sin,calendario,0.084421,0.011551,0.085111,0.1368,1.0,0.879646,True,0.00035789082455472553,0.8793312953976334,False,True
no2_min,clima_contaminacion,0.170718,0.016967,0.168887,0.0994,1.0,0.909599,True,0.037559443653053644,0.8766716987293481,False,True
atenciones_std3,atenciones,0.281155,0.029063,0.284216,0.1034,1.0,0.906315,True,0.04160526994240481,0.870113685244809,False,True
dow,calendario,0.126166,0.019397,0.132248,0.1537,1.0,0.866745,True,0.00045409229801927236,0.8663515964126923,False,True
no2_mean_delta1,clima_contaminacion,0.074656,0.011303,0.074154,0.1514,1.0,0.868511,True,0.01674146221917907,0.8542102710204761,False,True
precipitacion_sum_lag1,clima_meteo,0.124829,0.021355,0.122,0.1711,1.0,0.853918,True,0.009010871825584854,0.8462921697315529,False,True
temperatura_mean_delta1,clima_meteo,0.072293,0.011638,0.074443,0.161,1.0,0.86134,True,0.025704541445850396,0.839754495759413,False,True
atenciones_vs_week,atenciones,0.127318,0.018832,0.126215,0.1479,1.0,0.871149,True,0.04179080538977847,0.8362033869881065,False,True
ozono_mean_delta1,clima_contaminacion,0.088217,0.014029,0.089542,0.159,1.0,0.862794,True,0.04386123350716925,0.8265408967254978,False,True
pm10_mean_delta1,clima_contaminacion,0.08568,0.013825,0.084576,0.1614,1.0,0.861067,True,0.04446919826470731,0.8244063122498837,False,True
atenciones_trend_7_14,atenciones,0.568511,0.057484,0.576718,0.1011,1.0,0.908172,True,0.10232785884133258,0.8238674117830863,False,True
atenciones_trend_3_7,atenciones,0.093988,0.014069,0.090914,0.1497,1.0,0.869802,True,0.05688906845003448,0.8229832495813355,False,True
atenciones_lag28_norm,atenciones,0.161859,0.020339,0.162053,0.1257,1.0,0.888368,True,0.08663925534865892,0.8175371869065767,False,True
