feature,domain,mean_imp,std_imp,median_imp,cv_imp,presence_pct,stability_score,passes_presence,psi_train_val,adjusted_score,excluded_hard_drift,selected_final
atenciones_max7_norm,atenciones,0.307942,0.076466,0.295678,0.2483,1.0,0.801081,True,0.29931608013333116,0.6165405110031394,False,True
ozono_min,clima_contaminacion,0.100041,0.025922,0.102114,0.2591,1.0,0.794208,True,0.3035898198435547,0.609246856572809,False,True
pm10_mean_std7,clima_contaminacion,0.059411,0.019138,0.057007,0.3221,1.0,0.75636,True,0.25399309201583714,0.6031612174068083,False,False
after_holiday,calendario,0.006294,0.004266,0.004776,0.6778,1.0,0.596032,True,0.0,0.596032,False,True
no2_mean_ma14,clima_contaminacion,0.03768,0.012746,0.039222,0.3383,1.0,0.747241,True,0.3185531039473399,0.5667128595450511,False,True
atenciones_min21_norm,atenciones,0.140727,0.039178,0.137505,0.2784,1.0,0.782231,True,0.39269426766005133,0.5616674227533606,False,True
atenciones_std7_norm,atenciones,0.074349,0.019941,0.07491,0.2682,1.0,0.788518,True,0.4132187385025488,0.5579589192508984,False,True
contaminacion_total_lag3,clima_contaminacion,0.171862,0.026004,0.172546,0.1513,1.0,0.868579,True,0.5625975698877225,0.5558558497325771,True,False
no2_mean_ma7,clima_contaminacion,0.038253,0.018101,0.031171,0.4732,1.0,0.678805,True,0.2218221383673898,0.555567769386652,False,True
pm10_mean_std14,clima_contaminacion,0.089063,0.025166,0.084812,0.2826,1.0,0.779691,True,0.42070560096969867,0.5488054664300781,False,False
atenciones_std28,atenciones,0.191891,0.034446,0.185119,0.1795,1.0,0.847812,True,0.5689357342691189,0.5403739499852421,True,False
atenciones_max3_norm,atenciones,0.039808,0.020551,0.033183,0.5163,1.0,0.65952,True,0.23094475257082042,0.5357835911177952,False,False
atenciones_lag2,atenciones,0.202269,0.115217,0.178585,0.5696,1.0,0.637096,True,0.19331952540325065,0.5338855071400179,False,True
contaminacion_total_lag5,clima_contaminacion,0.077926,0.01442,0.076008,0.185,1.0,0.843851,True,0.5806045926145459,0.5338786208409971,True,False
contaminacion_total_lag7,clima_contaminacion,0.145242,0.029459,0.146699,0.2028,1.0,0.831375,True,0.5778083037265924,0.5269176223983565,True,False
ozono_max,clima_contaminacion,0.113304,0.020026,0.114565,0.1767,1.0,0.8498,True,0.6133772773068455,0.5267211903582413,True,False
atenciones_ma14_norm,atenciones,0.071187,0.024931,0.074042,0.3502,1.0,0.74062,True,0.4064491782295547,0.5265885262432988,False,False
ozono_mean_lag2,clima_contaminacion,0.154719,0.02595,0.160407,0.1677,1.0,0.856366,True,0.6262790437081986,0.526579988417816,True,False
ozono_mean_lag5,clima_contaminacion,0.077332,0.011732,0.077572,0.1517,1.0,0.86827,True,0.6573308660602374,0.5238965964979753,True,False
ozono_mean,clima_contaminacion,0.147545,0.026128,0.152154,0.1771,1.0,0.849554,True,0.6277462714742348,0.5219204091498651,True,False
atenciones_std21_norm,atenciones,0.79456,0.106743,0.789004,0.1343,1.0,0.881568,True,0.6899321494512947,0.5216588135128603,True,False
atenciones_max10_norm,atenciones,0.057131,0.017475,0.056072,0.3059,1.0,0.765768,True,0.470756616138798,0.5206626246634767,False,False
atenciones_ma7,atenciones,4.18624,0.248363,4.176315,0.0593,1.0,0.943994,True,0.8156933285408057,0.5199082825064116,True,False
contaminacion_total,clima_contaminacion,0.042787,0.011197,0.03877,0.2617,1.0,0.792594,True,0.5645800638216478,0.5065857723279482,True,False
ozono_mean_lag1,clima_contaminacion,0.085173,0.018723,0.083307,0.2198,1.0,0.819794,True,0.6262790437081986,0.5040918427693241,True,False
ozono_mean_lag7,clima_contaminacion,0.080845,0.017962,0.07774,0.2222,1.0,0.818213,True,0.6368917475593396,0.4998577341598691,True,False
contaminacion_total_lag1,clima_contaminacion,0.044594,0.012521,0.041562,0.2808,1.0,0.78077,True,0.5645800638216478,0.4990284729136129,True,False
ozono_mean_lag3,clima_contaminacion,0.058109,0.012852,0.058706,0.2212,1.0,0.818891,True,0.6469616329839998,0.49721316125398507,True,False
atenciones_ma28_norm,atenciones,0.083892,0.028098,0.07875,0.3349,1.0,0.749105,True,0.5437487539996649,0.48525059408738647,True,False
atenciones_std28_norm,atenciones,0.095896,0.036187,0.096417,0.3774,1.0,0.726031,True,0.5241319770262896,0.4763570418728094,True,False
atenciones_std10_norm,atenciones,0.093133,0.022432,0.093598,0.2409,1.0,0.805895,True,0.7077797519239903,0.47189633153342875,True,False
atenciones_ma21_norm,atenciones,0.082937,0.036713,0.082231,0.4427,1.0,0.693161,True,0.4845073218731763,0.46692999743871777,False,False
no2_mean_std14,clima_contaminacion,0.157448,0.04004,0.157108,0.2543,1.0,0.797253,True,0.7079218204539613,0.4667971276273595,True,False
atenciones_ma10_norm,atenciones,0.052559,0.030196,0.043202,0.5745,1.0,0.635117,True,0.36526587236599944,0.4651965692948475,False,False
atenciones_std14_norm,atenciones,0.191045,0.056768,0.190523,0.2971,1.0,0.770924,True,0.7299758644670573,0.4456270262692328,True,False
ozono_mean_ma3,clima_contaminacion,0.058676,0.010811,0.056567,0.1842,1.0,0.84442,True,0.9119302827907126,0.44165836359234734,True,False
atenciones_max21,atenciones,0.037953,0.019704,0.033675,0.5192,1.0,0.658259,True,0.5275888786011467,0.43091371587019217,True,False
atenciones_max14_norm,atenciones,0.044255,0.019086,0.043453,0.4313,1.0,0.698679,True,0.6723066966607616,0.4177935790098266,True,False
before_holiday,calendario,0.000664,0.000601,0.000643,0.9057,0.7667,0.402311,True,0.0,0.402311,False,False
atenciones_max21_norm,atenciones,0.109045,0.029345,0.102252,0.2691,1.0,0.787957,True,0.9958600069906509,0.39479572577240934,True,False
atenciones_max28_norm,atenciones,0.106205,0.03032,0.102511,0.2855,1.0,0.777916,True,1.006200644252178,0.38775583201448544,True,False
atenciones_min28_norm,atenciones,0.12688,0.032111,0.130598,0.2531,1.0,0.798034,True,1.1732477360615836,0.36720802086108145,True,False
contaminacion_total_ma3,clima_contaminacion,0.051088,0.016907,0.047016,0.3309,1.0,0.75135,True,1.0986235612759616,0.35802037767229666,True,False
ozono_mean_ma7,clima_contaminacion,0.072249,0.014758,0.070971,0.2043,1.0,0.830382,True,1.3234177577184298,0.3573967691524514,True,False
contaminacion_total_ma7,clima_contaminacion,0.051564,0.011157,0.052452,0.2164,1.0,0.822119,True,1.354883441398035,0.3491123957761275,True,False
pm25_pm10_ratio,clima_meteo,0.203043,0.027308,0.202032,0.1345,1.0,0.881449,True,1.7198227724442279,0.3240832487066305,True,False
atenciones_ma_baseline,atenciones,0.236535,0.077405,0.236822,0.3272,1.0,0.75344,True,1.399171150737861,0.3140417888770798,True,False
est_invierno,calendario,0.008011,0.009941,0.003726,1.2409,0.7,0.31237,True,0.016749219765182292,0.307224233791044,False,False
est_primavera,calendario,0.004248,0.005254,0.001919,1.2367,0.6667,0.298056,True,0.0,0.298056,False,False
ozono_mean_ma14,clima_contaminacion,0.077439,0.027043,0.068986,0.3492,1.0,0.741173,True,1.9178011460410065,0.2540176533296843,True,False
est_verano,calendario,0.008163,0.012296,0.003174,1.5062,0.5333,0.212809,False,0.0,0.212809,False,False
is_holiday,calendario,0.000504,0.000764,5.1e-05,1.516,0.5,0.198728,False,0.0,0.198728,False,False
atenciones_min28,atenciones,0.056041,0.03446,0.055606,0.6149,1.0,0.619233,True,2.4468170964515408,0.17965357101120724,True,False
est_otono,calendario,0.00186,0.003261,0.0,1.7537,0.4667,0.169468,False,0.0,0.169468,False,False
month_cos,calendario,0.011013,0.028511,0.000325,2.5888,0.5667,0.157896,False,0.0,0.157896,False,False
pm10_h_gt_50,clima_contaminacion,5e-06,1.8e-05,0.0,3.9672,0.0667,0.013421,False,0.0,0.013421,False,False
ozono_h_gt_100,clima_contaminacion,1.2e-05,5.3e-05,0.0,4.2404,0.0667,0.012722,False,0.0,0.012722,False,False
no2_h_gt_50,clima_contaminacion,0.0,0.0,0.0,,0.0,0.0,False,0.0,0.0,False,False
pm10_h_gt_100,clima_contaminacion,0.0,0.0,0.0,,0.0,0.0,False,0.0,0.0,False,False
pm2_5_h_gt_25,clima_contaminacion,0.0,0.0,0.0,,0.0,0.0,False,0.0,0.0,False,False
pm2_5_h_gt_50,clima_contaminacion,0.0,0.0,0.0,,0.0,0.0,False,0.0,0.0,False,False
