feature,domain,mean_imp,std_imp,median_imp,cv_imp,presence_pct,stability_score,passes_presence,psi_train_val,adjusted_score,excluded_hard_drift,selected_final
no2_mean_delta1,clima_contaminacion,0.245195,0.027678,0.244332,0.1129,1.0,0.89857,True,0.01674146221917907,0.8837743255190424,False,True
dow,calendario,0.271277,0.036859,0.264978,0.1359,1.0,0.880381,True,0.00045409229801927236,0.879981407220581,False,True
atenciones_vs_week,atenciones,0.25097,0.025035,0.25118,0.0998,1.0,0.909296,True,0.04179080538977847,0.8728201432530339,False,True
contaminacion_total_std7,clima_contaminacion,0.198659,0.018559,0.196625,0.0934,1.0,0.914562,True,0.054642464718107936,0.8671772952404779,False,True
temperatura_mean_delta1,clima_meteo,0.137916,0.017983,0.138395,0.1304,1.0,0.884652,True,0.025704541445850396,0.8624822882747304,False,True
atenciones_std10,atenciones,0.401041,0.04564,0.3995,0.1138,1.0,0.897825,True,0.062250135676666846,0.8452105298419886,False,True
before_holiday,calendario,0.04415,0.008238,0.04309,0.1866,1.0,0.842747,True,0.0,0.842747,False,True
dow_cos,calendario,0.084537,0.016136,0.085033,0.1909,1.0,0.839717,True,0.0004594264164637685,0.839331388987732,False,True
pm2_5_mean_delta1,clima_contaminacion,0.068417,0.010463,0.066254,0.1529,1.0,0.867354,True,0.037903401655776756,0.8356789260120955,False,True
precipitacion_max,clima_meteo,0.066781,0.012561,0.065412,0.1881,1.0,0.841688,True,0.012001897287137669,0.8317059506077051,False,True
temp_range,clima_meteo,0.192764,0.028881,0.1957,0.1498,1.0,0.869698,True,0.04774930091313975,0.8300630687532183,False,True
ozono_mean_std7,clima_contaminacion,0.125756,0.018346,0.12426,0.1459,1.0,0.872688,True,0.05537878411258258,0.8268955309100718,False,True
atenciones_lag5_norm,atenciones,0.409062,0.053104,0.40102,0.1298,1.0,0.885098,True,0.07245267707635086,0.825302616067774,False,True
precipitacion_sum_lag3,clima_meteo,0.212467,0.043548,0.200631,0.205,1.0,0.8299,True,0.00719615144584022,0.8239705828985447,False,True
dow_sin,calendario,0.124317,0.026763,0.122841,0.2153,1.0,0.822858,True,0.00035789082455472553,0.8225636120306417,False,True
atenciones_std3,atenciones,0.079661,0.013499,0.077391,0.1694,1.0,0.855103,True,0.04160526994240481,0.8209472673340857,False,True
precipitacion_sum_ma3,clima_meteo,0.143432,0.027584,0.141229,0.1923,1.0,0.838706,True,0.022210949966807163,0.8204823084973157,False,True
humedad_std,clima_meteo,0.143391,0.025679,0.142484,0.1791,1.0,0.848115,True,0.0348322625280264,0.8195676059887342,False,True
atenciones_lag14_norm,atenciones,0.20077,0.024533,0.200942,0.1222,1.0,0.891111,True,0.09131834896168506,0.8165454203604579,False,True
no2_mean_lag5,clima_contaminacion,0.191665,0.02836,0.1938,0.148,1.0,0.871105,True,0.07410896785019877,0.8110024458165489,False,True
atenciones_trend_3_7,atenciones,0.072231,0.012398,0.070383,0.1716,1.0,0.853501,True,0.05688906845003448,0.8075596819746557,False,True
no2_min,clima_contaminacion,0.067597,0.013358,0.069287,0.1976,1.0,0.83499,True,0.037559443653053644,0.8047635295575505,False,True
temperatura_max,clima_meteo,0.27835,0.052408,0.289319,0.1883,1.0,0.841551,True,0.04693498018169713,0.8038235572699535,False,True
pm10_mean_delta1,clima_contaminacion,0.059634,0.011525,0.058002,0.1933,1.0,0.838043,True,0.04446919826470731,0.8023625793774808,False,False
pm2_5_mean_lag1,clima_contaminacion,0.051783,0.009867,0.050021,0.1905,1.0,0.83995,True,0.05321586679948698,0.7975098234632948,False,True
humedad_mean_lag2,clima_meteo,0.548043,0.079391,0.530541,0.1449,1.0,0.873467,True,0.09739224415846297,0.7959478524197331,False,True
precipitacion_sum_lag5,clima_meteo,0.039571,0.010098,0.039587,0.2552,1.0,0.796691,True,0.007035965733252237,0.7911246739036835,False,True
ozono_mean_delta1,clima_contaminacion,0.102197,0.021587,0.101633,0.2112,1.0,0.825604,True,0.04386123350716925,0.7909135558431768,False,True
pm2_5_mean_lag3,clima_contaminacion,0.075326,0.015427,0.079384,0.2048,1.0,0.830008,True,0.05179818031150181,0.7891323787555744,False,True
pm10_min,clima_contaminacion,0.126136,0.022881,0.123592,0.1814,1.0,0.846455,True,0.0758786982922399,0.7867569098111079,False,True
humedad_mean_std7,clima_meteo,0.189112,0.031147,0.187957,0.1647,1.0,0.85859,True,0.0927482968435645,0.7857161639876835,False,True
pm2_5_mean_lag5,clima_contaminacion,0.069386,0.014984,0.067,0.216,1.0,0.822401,True,0.0499189820868539,0.7832994869426672,False,True
atenciones_trend_7_14,atenciones,0.206366,0.032765,0.20037,0.1588,1.0,0.862984,True,0.10232785884133258,0.7828741631433418,False,True
atenciones_pct_change_14,atenciones,0.115022,0.020409,0.111065,0.1774,1.0,0.849306,True,0.08876796079397356,0.7800615287950352,False,True
atenciones_lag7_norm,atenciones,0.081782,0.014851,0.083441,0.1816,1.0,0.846316,True,0.08769921054090778,0.7780790790306181,False,True
precipitacion_sum,clima_meteo,0.077968,0.021537,0.076446,0.2762,1.0,0.78356,True,0.009010871825584854,0.7765624948939542,False,True
pm2_5_mean,clima_contaminacion,0.050065,0.011388,0.048031,0.2275,1.0,0.814687,True,0.050021122741347165,0.7758767727196311,False,True
no2_max,clima_contaminacion,0.081529,0.018119,0.081567,0.2222,1.0,0.818172,True,0.05715820152956713,0.7739352528469383,False,True
pm2_5_min,clima_contaminacion,0.034068,0.007378,0.03393,0.2166,1.0,0.821985,True,0.06488322759395332,0.7719015369011222,False,False
temperatura_min,clima_meteo,0.16325,0.026169,0.160483,0.1603,1.0,0.861847,True,0.11975798058378777,0.7696725675941819,False,True
pm10_max,clima_contaminacion,0.069398,0.009513,0.068636,0.1371,1.0,0.879443,True,0.1464397085078487,0.7671079372718527,False,False
atenciones_min14_norm,atenciones,0.399673,0.05214,0.406925,0.1305,1.0,0.884597,True,0.15682266830432923,0.764678134546449,False,True
no2_mean,clima_contaminacion,0.040228,0.008699,0.039815,0.2163,1.0,0.822198,True,0.07678074511728096,0.7635704889117865,False,True
temperatura_mean_std7,clima_meteo,0.166688,0.027515,0.164049,0.1651,1.0,0.85832,True,0.13120498033644085,0.75876610775239,False,True
humedad_mean_lag3,clima_meteo,0.315503,0.062864,0.309683,0.1993,1.0,0.833854,True,0.09916116087714563,0.7586276059232052,False,True
precipitacion_sum_lag2,clima_meteo,0.041804,0.012954,0.040122,0.3099,1.0,0.763435,True,0.009010871825584854,0.7566172192166087,False,True
atenciones_std7,atenciones,0.096915,0.020698,0.092314,0.2136,1.0,0.824019,True,0.0921800025622488,0.7544717885942386,False,True
humedad_mean_lag1,clima_meteo,0.365588,0.078821,0.358114,0.2156,1.0,0.822639,True,0.09146061506684092,0.7537047041771835,False,True
pm2_5_max,clima_contaminacion,0.040254,0.01117,0.039871,0.2775,1.0,0.78278,True,0.04151529422303393,0.7515780174730422,False,False
atenciones_lag28_norm,atenciones,0.190399,0.04322,0.192934,0.227,1.0,0.814997,True,0.08663925534865892,0.7500161585258579,False,True
atenciones_lag10_norm,atenciones,0.118193,0.027396,0.115775,0.2318,1.0,0.811828,True,0.08469395733277701,0.7484396815450651,False,True
atenciones_lag21_norm,atenciones,0.182821,0.036357,0.172209,0.1989,1.0,0.834121,True,0.11631614911996263,0.7472085758658704,False,True
atenciones_lag1_norm,atenciones,0.117159,0.024708,0.116896,0.2109,1.0,0.825836,True,0.1107119702701582,0.743519492095806,False,True
temperatura_std,clima_meteo,0.057842,0.014568,0.059278,0.2518,1.0,0.798818,True,0.07531459029725823,0.7428691168220605,False,False
atenciones_lag2_norm,atenciones,0.223251,0.051125,0.218865,0.229,1.0,0.813669,True,0.09545473839163228,0.7427682509225754,False,True
pm10_mean_lag5,clima_contaminacion,0.11241,0.022343,0.112765,0.1988,1.0,0.834192,True,0.13172102660542714,0.7371003810913905,False,False
ozono_mean_std14,clima_contaminacion,0.123628,0.02555,0.113784,0.2067,1.0,0.828726,True,0.12527466343185945,0.736465528755934,False,True
atenciones_lag14,atenciones,0.221255,0.037206,0.216302,0.1682,1.0,0.856047,True,0.16616260446423167,0.7340717295537806,False,True
no2_mean_lag7,clima_contaminacion,0.082023,0.022214,0.075797,0.2708,1.0,0.786888,True,0.07325185875584567,0.7331811201447072,False,True
no2_mean_lag3,clima_contaminacion,0.125246,0.033253,0.117457,0.2655,1.0,0.790199,True,0.07821323760229461,0.7328782215262225,False,True
total_atenciones_norm,atenciones,0.114112,0.025467,0.112325,0.2232,1.0,0.817545,True,0.1198682473624088,0.7300367716698267,False,True
atenciones_min7_norm,atenciones,0.293889,0.054647,0.287395,0.1859,1.0,0.843209,True,0.15618743641842592,0.7293012996336015,False,True
pm2_5_std,clima_contaminacion,0.042073,0.011311,0.03818,0.2688,1.0,0.78812,True,0.08387188367463491,0.7271339093399567,False,True
month_sin,calendario,0.167239,0.046386,0.151055,0.2774,1.0,0.782862,True,0.07843964102336785,0.7259210160868305,False,True
pm2_5_mean_lag7,clima_contaminacion,0.04799,0.015117,0.045496,0.315,1.0,0.760452,True,0.05027799326050034,0.7240483042391855,False,True
atenciones_lag3_norm,atenciones,0.096429,0.02586,0.092813,0.2682,1.0,0.788535,True,0.09003707034264292,0.7234020029723681,False,True
no2_std,clima_contaminacion,0.065855,0.015461,0.063834,0.2348,1.0,0.809868,True,0.12544799692543643,0.7195961094714673,False,False
atenciones_lag5,atenciones,0.701569,0.11942,0.678628,0.1702,1.0,0.854541,True,0.1876523897700254,0.7195211388118973,False,True
no2_mean_lag1,clima_contaminacion,0.071082,0.021191,0.064268,0.2981,1.0,0.770349,True,0.0758957691023545,0.7160070911355293,False,True
humedad_mean_std14,clima_meteo,0.464016,0.083344,0.468356,0.1796,1.0,0.847735,True,0.18427405044961803,0.7158267123037538,False,True
pm10_mean_lag3,clima_contaminacion,0.067857,0.016025,0.065715,0.2362,1.0,0.808957,True,0.13267494788536907,0.7142004875364026,False,False
pm2_5_mean_std7,clima_contaminacion,0.083624,0.019393,0.082638,0.2319,1.0,0.811748,True,0.1424735467977727,0.7105179829110618,False,False
pm2_5_mean_ma3,clima_contaminacion,0.065926,0.019453,0.063556,0.2951,1.0,0.772152,True,0.09053704569115287,0.7080474735368856,False,True
precipitacion_sum_lag7,clima_meteo,0.028231,0.011401,0.026176,0.4038,1.0,0.712338,True,0.00833969704226721,0.706446450625201,False,True
pm10_mean,clima_contaminacion,0.059513,0.015316,0.060748,0.2574,1.0,0.795322,True,0.1294776615291152,0.7041502697125264,False,False
precipitacion_sum_lag1,clima_meteo,0.026718,0.010899,0.027522,0.4079,1.0,0.710267,True,0.009010871825584854,0.7039240307836594,False,True
pm10_mean_lag1,clima_contaminacion,0.037988,0.009943,0.036927,0.2617,1.0,0.792552,True,0.1294776615291152,0.7016978086375106,False,False
