feature,domain,mean_imp,std_imp,median_imp,cv_imp,presence_pct,stability_score,passes_presence,psi_train_val,adjusted_score,excluded_hard_drift,selected_final
dow_sin,calendario,0.272614,0.028944,0.268507,0.1062,1.0,0.90402,True,0.00035789082455472553,0.9036965752875231,False,True
temperatura_mean_delta1,clima_meteo,0.13622,0.013384,0.134353,0.0983,1.0,0.910538,True,0.025704541445850396,0.8877195753822932,False,True
atenciones_std3,atenciones,0.142135,0.017693,0.142507,0.1245,1.0,0.889299,True,0.04160526994240481,0.8537773623679664,False,True
no2_max,clima_contaminacion,0.149515,0.018903,0.150112,0.1264,1.0,0.887762,True,0.05715820152956713,0.83976267574288,False,True
dow,calendario,0.056438,0.01081,0.054346,0.1915,1.0,0.839248,True,0.00045409229801927236,0.8388670769213081,False,True
precipitacion_sum_lag1,clima_meteo,0.076868,0.014666,0.07681,0.1908,1.0,0.839778,True,0.009010871825584854,0.8322784456034702,False,True
contaminacion_total_std7,clima_contaminacion,0.160001,0.022331,0.156552,0.1396,1.0,0.877527,True,0.054642464718107936,0.8320611291093342,False,True
no2_min,clima_contaminacion,0.10027,0.015887,0.099975,0.1584,1.0,0.863231,True,0.037559443653053644,0.8319822110246756,False,True
is_holiday,calendario,0.030029,0.006119,0.03031,0.2038,1.0,0.830716,True,0.0,0.830716,False,True
atenciones_trend_3_7,atenciones,0.168662,0.02353,0.165517,0.1395,1.0,0.877572,True,0.05688906845003448,0.8303350145223761,False,True
atenciones_pct_change_14,atenciones,0.263332,0.028751,0.264281,0.1092,1.0,0.901565,True,0.08876796079397356,0.8280598184966266,False,True
temperatura_max,clima_meteo,0.459215,0.072513,0.454322,0.1579,1.0,0.863627,True,0.04693498018169713,0.8249098715281404,False,True
ozono_mean_delta1,clima_contaminacion,0.065499,0.010745,0.064199,0.164,1.0,0.859075,True,0.04386123350716925,0.8229781626372658,False,True
pm2_5_mean_lag1,clima_contaminacion,0.075939,0.011856,0.075086,0.1561,1.0,0.864955,True,0.05321586679948698,0.8212513951469661,False,True
pm10_mean_delta1,clima_contaminacion,0.050702,0.008439,0.050038,0.1664,1.0,0.857312,True,0.04446919826470731,0.8208111846901254,False,True
humedad_mean_lag3,clima_meteo,0.505213,0.059318,0.50956,0.1174,1.0,0.894925,True,0.09916116087714563,0.8141890669479602,False,True
temp_range,clima_meteo,0.131944,0.022999,0.128983,0.1743,1.0,0.851564,True,0.04774930091313975,0.8127554933778917,False,True
humedad_std,clima_meteo,0.10992,0.021553,0.110745,0.1961,1.0,0.836067,True,0.0348322625280264,0.8079251394400324,False,True
atenciones_pct_change_7,atenciones,0.212337,0.017782,0.211773,0.0837,1.0,0.922726,True,0.14268740136437363,0.807505183743394,False,True
atenciones_lag28_norm,atenciones,0.136919,0.019165,0.135366,0.14,1.0,0.877211,True,0.08663925534865892,0.8072697499949402,False,True
temperatura_min,clima_meteo,0.5112,0.059416,0.517287,0.1162,1.0,0.895873,True,0.11975798058378777,0.8000594910097761,False,True
atenciones_vs_week,atenciones,0.114113,0.023106,0.109211,0.2025,1.0,0.831612,True,0.04179080538977847,0.7982523897289134,False,True
atenciones_lag14_norm,atenciones,0.20694,0.030748,0.205335,0.1486,1.0,0.870638,True,0.09131834896168506,0.7977855415226479,False,True
no2_mean_delta1,clima_contaminacion,0.057023,0.013349,0.056196,0.2341,1.0,0.810313,True,0.01674146221917907,0.7969705476861144,False,True
ozono_mean_std7,clima_contaminacion,0.101754,0.019336,0.10122,0.19,1.0,0.840315,True,0.05537878411258258,0.7962212360622548,False,True
atenciones_lag21_norm,atenciones,0.198564,0.024944,0.202526,0.1256,1.0,0.888398,True,0.11631614911996263,0.7958301066417074,False,True
