k,mae_val,mae_val_std_seeds,smape_val
3,13.7039,0.0271,43.2718
4,12.9667,0.0553,41.1446
5,13.0893,0.0969,41.4102
6,12.8155,0.0773,40.4865
7,11.2763,0.06,34.7374
8,11.3939,0.0316,35.0706
9,11.0184,0.1036,33.5195
10,10.8481,0.1054,33.023
11,11.1408,0.102,33.6845
12,10.0674,0.0737,30.5983
13,9.9696,0.0519,30.2344
14,9.9561,0.0601,30.124
15,9.8132,0.1523,29.7973
16,9.6074,0.1395,29.3412
17,9.6012,0.0837,29.3258
18,9.536,0.0794,29.246
19,9.5783,0.0853,29.2477
20,9.4789,0.0918,28.8683
21,9.4947,0.1537,28.653
22,9.3957,0.0895,28.0624
23,9.4502,0.0983,28.248
24,9.4709,0.1794,28.2147
25,9.4234,0.1112,28.1375
26,9.4891,0.0749,28.4336
27,9.5222,0.0461,28.5575
28,9.528,0.1174,28.8753
29,9.5731,0.0789,29.0284
30,9.6831,0.0925,29.3027
31,9.8126,0.0535,29.663
32,9.7699,0.0851,29.5947
33,9.8554,0.1187,29.7496
34,9.7801,0.0895,29.5079
35,9.8361,0.1397,29.5579
36,9.8001,0.0832,29.4781
37,9.8602,0.0936,29.7901
38,9.8181,0.0839,29.6128
39,9.8147,0.083,29.5904
40,9.9081,0.0625,29.9386
41,9.8376,0.1263,29.7151
42,9.823,0.0931,29.7496
43,9.7838,0.1264,29.4333
44,9.7799,0.2369,29.3702
45,9.7053,0.1083,29.1932
46,9.7321,0.0828,29.3784
47,9.632,0.1359,28.9877
48,9.7308,0.0932,29.3836
49,9.7918,0.1394,29.5778
50,9.5947,0.088,28.8152
51,9.5398,0.1005,28.7547
52,9.3642,0.0748,28.243
53,8.436,0.0883,25.8325
54,8.3494,0.0454,25.5455
55,8.3888,0.0762,25.4915
56,8.3693,0.0767,25.5835
57,8.3963,0.0437,25.6738
58,8.474,0.0518,25.8237
59,8.4584,0.0535,25.8466
60,8.5788,0.0288,25.9639
61,8.524,0.0626,25.9957
62,8.5949,0.0902,26.2403
63,8.5233,0.0864,25.9808
64,8.5054,0.0841,25.9232
65,8.5713,0.127,26.05
66,8.4307,0.0739,25.6343
67,8.5339,0.0907,25.9586
68,8.4726,0.155,25.7917
69,8.5328,0.0781,26.0033
70,8.5858,0.0706,26.188
71,8.5633,0.0815,26.0757
72,8.5231,0.0662,25.9003
73,8.5641,0.1101,25.8846
74,8.5479,0.0708,25.936
75,8.4493,0.1018,25.7482
76,8.5784,0.0572,26.0392
77,8.6344,0.1195,26.2068
78,8.5572,0.1071,25.9654
79,8.5885,0.0887,26.127
80,8.4865,0.086,25.659
81,8.4238,0.1067,25.5441
82,8.5055,0.0433,25.9048
83,8.4363,0.1364,25.6156
84,8.5864,0.0868,25.9825
85,8.7216,0.0789,26.2986
86,8.6194,0.0385,25.9575
87,8.6089,0.0558,25.974
88,8.6317,0.0961,25.9134
89,8.4763,0.0454,25.4981
90,8.4393,0.0987,25.3407
91,8.4919,0.0815,25.552
92,8.4552,0.1242,25.5941
93,8.4362,0.0828,25.4195
94,8.4197,0.1345,25.3663
95,8.501,0.0416,25.5785
96,8.477,0.0794,25.6105
97,8.4338,0.0508,25.5911
98,8.5794,0.0764,25.9462
99,8.4172,0.1293,25.5841
100,8.4739,0.0959,25.6851
101,8.4525,0.1491,25.5188
102,8.486,0.1155,25.6549
103,8.5225,0.0695,25.8095
104,8.496,0.1195,25.6769
105,8.4953,0.1007,25.6715
106,8.427,0.103,25.5634
107,8.5158,0.1308,25.7286
108,8.4824,0.0983,25.6648
109,8.2785,0.063,25.115
110,8.1289,0.0481,24.7917
111,8.1652,0.1005,24.8529
112,8.1985,0.0941,24.8878
113,8.2202,0.0723,24.9681
114,8.0875,0.0334,24.6535
115,8.1265,0.0723,24.8393
116,8.1445,0.0881,24.8307
117,8.05,0.136,24.4018
118,8.1167,0.1423,24.6182
119,8.125,0.07,24.7109
120,8.1138,0.0908,24.6131
121,8.244,0.123,24.947
122,8.2392,0.0997,24.9267
123,8.1831,0.1199,24.8558
124,8.1565,0.0528,24.7837
