k,mae_val,mae_val_std_seeds,smape_val
3,11.413,0.0401,34.8063
4,11.5308,0.0694,35.5639
5,11.6255,0.0503,35.7222
6,11.5431,0.1545,35.9377
7,11.4822,0.0884,35.812
8,11.7646,0.0729,36.8387
9,11.314,0.0904,35.2635
10,11.1809,0.0979,34.9124
11,11.2415,0.0512,35.2626
12,11.1174,0.062,35.1397
13,11.0868,0.103,34.614
14,11.3722,0.0793,35.6324
15,11.3994,0.0649,35.7993
16,11.3027,0.1793,35.4613
17,11.3819,0.1525,35.6913
18,10.7795,0.0792,33.9453
19,10.714,0.0554,33.694
20,10.7413,0.0912,33.6294
21,10.3211,0.0912,32.0308
22,10.2461,0.0337,32.0537
23,10.1842,0.0384,31.7776
24,10.4015,0.0287,32.387
25,10.2405,0.1299,31.7277
26,10.3202,0.0862,31.8519
27,10.5362,0.1299,32.3216
28,10.532,0.0667,32.4395
29,10.5841,0.0922,32.8016
30,10.2432,0.0576,31.8055
31,10.2589,0.0804,31.8192
32,10.2855,0.0792,31.8566
33,10.235,0.0858,31.8974
34,10.0745,0.131,31.22
35,10.3831,0.0717,32.0683
36,10.4683,0.0197,32.379
37,10.2854,0.0684,31.8719
38,10.2478,0.0459,31.6625
39,10.1419,0.1211,31.2067
40,10.0955,0.0476,30.9535
41,10.1655,0.0585,31.1851
42,10.1875,0.1005,31.2669
43,10.1957,0.1032,31.2058
44,10.0738,0.0611,30.8065
45,10.197,0.1075,31.2112
46,10.1446,0.0365,31.1024
47,10.1359,0.0955,31.0726
48,10.1969,0.1059,30.8272
49,10.095,0.0672,30.5426
50,10.1416,0.1295,30.6661
51,10.1097,0.1147,30.7003
52,10.1363,0.1195,30.8331
53,10.2156,0.0414,31.0736
54,10.2194,0.0488,30.9825
55,10.2263,0.0644,31.0491
56,10.1861,0.018,30.9854
57,10.2168,0.0718,31.0269
58,9.8534,0.0817,29.8014
59,9.852,0.018,29.6457
60,9.9186,0.0515,29.7881
61,9.8663,0.1637,29.5471
62,9.8353,0.1193,29.5908
63,9.9179,0.0621,29.764
64,9.9467,0.0683,29.8228
65,9.9494,0.1127,29.8341
66,9.8008,0.0767,29.343
67,9.9534,0.0945,29.7459
68,9.9104,0.1235,29.6415
69,9.8816,0.127,29.4317
70,9.7619,0.1014,29.1045
71,9.7779,0.0593,29.2416
72,9.8031,0.1052,29.2638
73,9.129,0.0865,27.2464
74,9.1382,0.1028,27.1677
75,9.1455,0.1685,27.2226
76,9.018,0.0699,26.8483
77,9.0849,0.0909,27.2979
78,8.9867,0.1531,27.0322
79,8.9551,0.1877,26.9555
80,8.9478,0.0801,26.9549
81,8.9383,0.0789,26.8526
82,8.9466,0.1218,26.8714
83,8.9888,0.0807,27.1336
84,8.8479,0.0937,26.6884
85,8.9401,0.1103,26.9802
86,8.9115,0.051,26.8493
87,8.8663,0.128,26.8531
88,8.9615,0.1788,27.0173
89,8.9145,0.1298,27.0113
90,8.8782,0.1128,26.9046
91,8.9115,0.1202,26.8678
92,8.9437,0.096,26.9682
93,8.9344,0.0578,27.0236
94,8.9548,0.0996,27.1244
95,8.9672,0.0911,27.1807
96,8.9473,0.0215,27.0458
97,8.9491,0.0931,27.0591
98,9.0548,0.0518,27.2869
99,8.924,0.1034,27.0567
100,8.937,0.0762,26.9743
101,9.0124,0.1143,27.1825
102,8.9917,0.0244,27.1699
103,8.882,0.0902,26.8336
104,8.9156,0.1147,26.8988
105,8.9127,0.036,26.833
106,8.8616,0.0716,26.7528
107,8.9484,0.1285,26.892
108,8.9886,0.0597,27.0997
109,9.0178,0.1213,27.1715
110,8.8917,0.1218,26.82
111,8.9644,0.0493,27.0184
112,8.9509,0.0318,26.9627
113,8.8507,0.1508,26.6161
114,8.8434,0.0277,26.7059
115,8.8355,0.1236,26.6391
116,8.957,0.0667,26.846
117,9.1014,0.0574,27.2772
118,9.0402,0.0413,27.0859
119,8.9842,0.0675,26.9354
120,9.0967,0.1489,27.1936
121,9.0384,0.0871,27.2327
122,9.0325,0.1166,27.0104
123,9.0035,0.1354,27.0311
124,8.9579,0.0731,26.8724
