feature,domain,mean_imp,std_imp,median_imp,cv_imp,presence_pct,stability_score,passes_presence,psi_train_val,adjusted_score,excluded_hard_drift,selected_final
dow_cos,calendario,0.229825,0.020143,0.228124,0.0876,1.0,0.919417,True,0.0004594264164637685,0.9189947895171034,False,True
precipitacion_sum_lag2,clima_meteo,0.113461,0.019293,0.110452,0.17,1.0,0.854668,True,0.009010871825584854,0.8470354719307086,False,True
dow,calendario,0.103813,0.018828,0.105931,0.1814,1.0,0.846475,True,0.00045409229801927236,0.8460907966858,False,True
temperatura_mean_delta1,clima_meteo,0.120105,0.018305,0.119071,0.1524,1.0,0.867748,True,0.025704541445850396,0.846001908870178,False,True
atenciones_lag7_norm,atenciones,0.414245,0.038571,0.420749,0.0931,1.0,0.914819,True,0.08769921054090778,0.841058806639259,False,True
pm10_mean_delta1,clima_contaminacion,0.068057,0.009689,0.065629,0.1424,1.0,0.875375,True,0.04446919826470731,0.8381051365175322,False,True
dow_sin,calendario,0.062967,0.012452,0.06515,0.1978,1.0,0.834891,True,0.00035789082455472553,0.8345923070710554,False,True
pm2_5_mean_lag2,clima_contaminacion,0.075395,0.01149,0.073583,0.1524,1.0,0.867755,True,0.05306733141528029,0.824026132150327,False,True
no2_mean_lag5,clima_contaminacion,0.130158,0.017178,0.132143,0.132,1.0,0.883408,True,0.07410896785019877,0.8224565909435783,False,True
humedad_std,clima_meteo,0.071308,0.01248,0.070608,0.175,1.0,0.851052,True,0.0348322625280264,0.822405747112036,False,True
no2_min,clima_contaminacion,0.174929,0.030687,0.17774,0.1754,1.0,0.850756,True,0.037559443653053644,0.8199588035213158,False,True
no2_mean_delta1,clima_contaminacion,0.170047,0.03464,0.167009,0.2037,1.0,0.830765,True,0.01674146221917907,0.817085789131428,False,True
no2_mean_lag7,clima_contaminacion,0.093599,0.013162,0.093448,0.1406,1.0,0.876714,True,0.07325185875584567,0.8168762931529605,False,True
precipitacion_sum,clima_meteo,0.032322,0.007054,0.03219,0.2183,1.0,0.820845,True,0.009010871825584854,0.8135145248879829,False,True
ozono_mean_std7,clima_contaminacion,0.140235,0.02359,0.142617,0.1682,1.0,0.856006,True,0.05537878411258258,0.8110888838075084,False,True
ozono_mean_delta1,clima_contaminacion,0.121019,0.022095,0.122904,0.1826,1.0,0.845612,True,0.04386123350716925,0.8100808544818829,False,True
precipitacion_sum_lag7,clima_meteo,0.066079,0.014934,0.067131,0.226,1.0,0.81566,True,0.00833969704226721,0.8089139031147453,False,True
atenciones_std3,atenciones,0.106277,0.020289,0.109095,0.1909,1.0,0.839697,True,0.04160526994240481,0.8061566355615989,False,True
precipitacion_max,clima_meteo,0.038698,0.008799,0.036598,0.2274,1.0,0.814752,True,0.012001897287137669,0.8050893997176258,False,True
pm2_5_mean_lag7,clima_contaminacion,0.029544,0.005502,0.029665,0.1862,1.0,0.843005,True,0.05027799326050034,0.8026493989300503,False,True
humedad_mean,clima_meteo,0.322013,0.04671,0.32715,0.1451,1.0,0.87332,True,0.09041950859303335,0.8009027655116364,False,True
atenciones_trend_3_7,atenciones,0.091335,0.016603,0.087997,0.1818,1.0,0.846178,True,0.05688906845003448,0.8006308564066711,False,True
pm2_5_mean_delta1,clima_contaminacion,0.05599,0.011502,0.054165,0.2054,1.0,0.829583,True,0.037903401655776756,0.7992872927061986,False,False
atenciones_lag21_norm,atenciones,0.162846,0.020084,0.158581,0.1233,1.0,0.890212,True,0.11631614911996263,0.797455094331288,False,True
pm10_min,clima_contaminacion,0.104711,0.01774,0.105186,0.1694,1.0,0.855128,True,0.0758786982922399,0.7948182275170601,False,True
temp_range,clima_meteo,0.157773,0.033028,0.146817,0.2093,1.0,0.8269,True,0.04774930091313975,0.7892155110763003,False,True
atenciones_trend_7_14,atenciones,0.28529,0.043207,0.280852,0.1514,1.0,0.86847,True,0.10232785884133258,0.787850903916061,False,True
pm2_5_min,clima_contaminacion,0.076047,0.0147,0.076543,0.1933,1.0,0.838008,True,0.06488322759395332,0.786948257128093,False,False
ozono_mean_std14,clima_contaminacion,0.191916,0.025705,0.193981,0.1339,1.0,0.88188,True,0.12527466343185945,0.7837019961957066,False,True
humedad_mean_std7,clima_meteo,0.428146,0.07263,0.438886,0.1696,1.0,0.854964,True,0.0927482968435645,0.7823979250021149,False,True
precipitacion_sum_lag1,clima_meteo,0.037575,0.010121,0.037058,0.2693,1.0,0.787806,True,0.009010871825584854,0.7807705764107745,False,True
pm10_mean_lag2,clima_contaminacion,0.164735,0.021917,0.166793,0.133,1.0,0.882579,True,0.13136802702409012,0.7800989412096999,False,False
precipitacion_sum_lag3,clima_meteo,0.031296,0.008576,0.029102,0.274,1.0,0.784918,True,0.00719615144584022,0.7793099674509699,False,True
atenciones_lag3_norm,atenciones,0.065624,0.011718,0.064463,0.1786,1.0,0.848494,True,0.09003707034264292,0.7784083891140361,False,True
temperatura_max,clima_meteo,0.364706,0.083466,0.370232,0.2289,1.0,0.813763,True,0.04693498018169713,0.7772813168003712,False,True
pm2_5_mean,clima_contaminacion,0.051753,0.011755,0.05015,0.2271,1.0,0.814899,True,0.050021122741347165,0.7760786734199203,False,True
atenciones_vs_week,atenciones,0.076085,0.018243,0.070321,0.2398,1.0,0.8066,True,0.04179080538977847,0.7742437309169921,False,True
