k,mae_val,mae_val_std_seeds,smape_val
3,14.0011,0.0438,44.1122
4,13.5969,0.0422,43.162
5,13.6518,0.073,43.2564
6,13.0323,0.0471,41.2025
7,13.0135,0.0721,41.1056
8,12.775,0.0928,40.3413
9,11.3108,0.1448,35.0904
10,11.1587,0.0607,34.7036
11,11.341,0.1044,35.083
12,11.4131,0.0447,35.1122
13,11.8485,0.0868,36.1864
14,11.9034,0.0772,36.2233
15,11.5806,0.0781,35.249
16,10.9353,0.1304,33.6796
17,10.9673,0.1363,33.4409
18,11.0346,0.076,33.5577
19,10.9895,0.0814,33.3216
20,10.9042,0.1206,32.9459
21,11.0737,0.063,33.3977
22,11.1037,0.0498,33.5693
23,10.8824,0.1611,32.9973
24,10.8733,0.0466,33.0343
25,10.7494,0.0673,32.5874
26,10.2631,0.0776,31.1851
27,10.2791,0.0588,31.2773
28,10.3896,0.1405,31.6761
29,9.9872,0.1045,30.0802
30,9.9748,0.0616,30.0193
31,9.7937,0.1742,29.4332
32,9.8226,0.1273,29.5256
33,9.8454,0.0619,29.5991
34,9.8035,0.0553,29.5393
35,9.7747,0.0798,29.4253
36,9.8156,0.1009,29.5904
37,9.8687,0.0647,29.8016
38,9.8507,0.0787,29.656
39,9.9091,0.1151,29.9112
40,9.9446,0.0551,30.0128
41,10.0967,0.0573,30.451
42,9.9401,0.0953,30.0209
43,10.0884,0.0615,30.5709
44,10.0504,0.0997,30.407
45,10.1114,0.1036,30.6737
46,10.0714,0.0646,30.5278
47,10.0134,0.0579,30.3491
48,10.0686,0.1038,30.4451
49,10.0475,0.1642,30.5019
50,10.1202,0.0909,30.7426
51,10.0323,0.0955,30.4915
52,10.1509,0.0178,30.7523
53,10.1396,0.1193,30.7698
54,10.0176,0.09,30.3642
55,10.2557,0.0312,30.8525
56,9.8705,0.067,29.7361
57,10.0898,0.1113,30.3986
58,10.0582,0.1274,30.2616
59,9.996,0.0555,30.0443
60,9.9867,0.064,30.0404
61,10.0453,0.0883,30.1344
62,10.0191,0.1117,30.1131
63,10.0484,0.1494,30.1635
64,9.7617,0.1346,29.3483
65,9.7338,0.0231,29.298
66,9.7215,0.0459,29.3325
67,9.6999,0.0881,29.1803
68,9.7086,0.1006,29.1739
69,9.4833,0.0702,28.4483
70,9.4079,0.0761,28.2916
71,9.3814,0.0236,28.2706
72,9.5161,0.0194,28.603
73,9.19,0.1166,27.6493
74,9.1957,0.1905,27.6376
75,9.1956,0.0875,27.6516
76,9.2424,0.1026,27.7771
77,9.2244,0.1616,27.631
78,9.2445,0.1038,27.6074
79,8.9994,0.0589,26.9987
80,9.0838,0.0724,27.226
81,8.9491,0.2029,26.933
82,8.8748,0.1486,26.7694
83,8.7341,0.0616,26.4268
84,8.8046,0.0854,26.6663
85,8.8882,0.0732,26.7731
86,8.7557,0.0582,26.438
87,8.7319,0.1053,26.2784
88,8.718,0.1059,26.2377
89,8.7021,0.0531,26.1795
90,8.7501,0.0347,26.387
91,8.62,0.0642,26.0811
92,8.7068,0.1342,26.1982
93,8.6743,0.1468,26.168
94,8.7001,0.0266,26.2689
95,8.75,0.0515,26.4466
96,8.6775,0.0425,26.3484
97,8.6279,0.0689,26.1302
98,8.6325,0.0574,26.1339
99,8.6892,0.2305,26.1993
100,8.7517,0.0837,26.4112
101,8.727,0.1558,26.2174
102,8.6437,0.1531,25.9844
103,8.587,0.1105,25.8781
104,8.5898,0.1486,25.9938
105,8.5891,0.1706,25.8696
106,8.5746,0.0853,25.9467
107,8.6639,0.0952,26.0642
108,8.7498,0.1264,26.3265
109,8.6629,0.071,26.013
110,8.7836,0.1209,26.3071
111,8.7263,0.1393,26.1715
112,8.6557,0.1057,26.0022
113,8.669,0.1233,26.1712
114,8.7814,0.1151,26.3539
115,8.6321,0.1014,25.9587
116,8.6312,0.0636,25.9805
117,8.464,0.1019,25.3969
118,8.5746,0.1254,25.8433
119,8.5616,0.0463,25.6673
120,8.6056,0.0966,25.9263
121,8.573,0.1349,25.7743
122,8.4852,0.1306,25.535
123,8.5429,0.1394,25.5739
124,8.5374,0.073,25.6531
