k,mae_val,mae_val_std_seeds,smape_val
3,12.9047,0.0821,41.2065
4,12.4925,0.0363,40.3974
5,12.5392,0.072,40.6649
6,12.2901,0.066,39.764
7,11.6722,0.0975,37.5399
8,11.5311,0.1701,37.0269
9,11.5034,0.1116,36.888
10,11.6849,0.1307,37.1668
11,11.0105,0.0942,35.0991
12,10.2847,0.088,31.7694
13,10.2073,0.1202,31.5608
14,10.2987,0.1083,31.8729
15,10.2524,0.159,31.7482
16,10.5626,0.0706,32.7924
17,10.5312,0.0925,32.65
18,10.3841,0.0925,32.1633
19,10.3238,0.0891,32.0881
20,10.3374,0.1433,31.8563
21,10.3301,0.1008,31.7305
22,10.2227,0.0529,31.4429
23,10.1536,0.069,31.1747
24,10.0851,0.0589,30.8819
25,10.1716,0.0731,31.1884
26,10.1261,0.0647,30.8966
27,10.1108,0.0901,30.8518
28,10.0437,0.1042,30.8534
29,10.0381,0.1396,30.7565
30,10.1569,0.1134,31.0108
31,10.0961,0.0839,30.922
32,10.1415,0.0478,31.0667
33,10.158,0.1114,31.1287
34,10.1081,0.1843,30.9107
35,9.5109,0.0828,29.1956
36,9.5917,0.0907,29.4958
37,9.7093,0.1407,29.7773
38,9.7081,0.066,29.7237
39,9.7169,0.1208,29.7203
40,9.6891,0.0788,29.7158
41,9.5643,0.1063,29.4052
42,9.6048,0.0769,29.5313
43,9.3425,0.0814,28.7587
44,9.2858,0.0606,28.547
45,9.1636,0.103,28.2422
46,9.1399,0.134,28.2044
47,9.2242,0.0963,28.5007
48,9.1553,0.0789,28.2871
49,8.7939,0.0949,26.8928
50,8.7395,0.0667,26.7031
51,8.5465,0.0176,26.0718
52,8.7311,0.0912,26.5067
53,8.8353,0.0247,26.9095
54,8.702,0.1169,26.6329
55,8.6288,0.0667,26.2311
56,8.6319,0.0984,26.3264
57,8.6732,0.117,26.4469
58,8.7674,0.1809,26.7185
59,8.7063,0.0892,26.4358
60,8.5686,0.1015,26.037
61,8.5709,0.0773,25.8649
62,8.5393,0.1383,25.742
63,8.7189,0.1586,26.2548
64,8.6878,0.1212,26.1274
65,8.6723,0.1503,26.0437
66,8.6655,0.0892,26.1286
67,8.3748,0.0793,25.2242
68,8.358,0.0332,24.9993
69,8.3427,0.1177,25.0792
70,8.3249,0.1033,25.0838
71,8.324,0.0563,25.1333
72,8.4077,0.0643,25.1154
73,8.4516,0.0766,25.274
74,8.4717,0.0751,25.4305
75,8.4599,0.0762,25.2618
76,8.3425,0.1692,25.0167
77,8.3833,0.0704,25.0949
78,8.4879,0.0773,25.4104
79,8.4107,0.1001,25.1758
80,8.3423,0.0447,25.0544
81,8.3905,0.168,25.1775
82,8.3838,0.1414,25.1408
83,8.3677,0.0699,25.2871
84,8.326,0.086,25.0761
85,8.3653,0.0385,25.2294
86,8.3727,0.1127,25.1506
87,8.3581,0.0539,25.025
88,8.4713,0.0635,25.4719
89,8.4502,0.0844,25.3166
90,8.3856,0.0868,25.1068
91,8.4246,0.1091,25.2608
92,8.4024,0.0681,25.0269
93,8.4525,0.0705,25.3679
94,8.3411,0.1127,24.9691
95,8.3886,0.0404,25.0591
96,8.3451,0.1061,25.1431
97,8.501,0.0941,25.4695
98,8.254,0.1106,24.8516
99,8.2193,0.0828,24.8002
100,8.3114,0.0704,25.0575
101,8.3211,0.0652,24.974
102,8.2454,0.131,24.8369
103,8.262,0.0421,24.879
104,8.2898,0.1637,24.9319
105,8.1859,0.094,24.863
106,8.2271,0.1554,24.8575
107,8.2926,0.0848,25.039
108,8.2754,0.0645,25.0628
109,8.2824,0.0407,25.0175
110,8.2733,0.0846,24.9675
111,8.3219,0.2238,25.0707
112,8.2372,0.0427,24.9312
113,8.2755,0.0714,24.948
114,8.1741,0.1334,24.7274
115,8.1963,0.107,24.7381
116,8.267,0.0819,24.8355
117,8.1971,0.1054,24.6998
118,8.3241,0.121,25.04
119,8.1826,0.0992,24.6506
120,8.2082,0.0978,24.8501
121,8.3465,0.0937,25.1084
122,8.316,0.0975,25.1018
123,8.273,0.1466,24.9163
