feature,importance,rank,importance_pct,cumulative_pct
atenciones_lag1,325.0059875488281,1,11.05242408022306,11.05242408022306
total_atenciones,250.79745483398438,2,8.528826960916644,19.581251041139705
atenciones_lag2,188.15884399414062,3,6.398686233296974,25.97993727443668
atenciones_lag3,114.01275787353515,4,3.877212724841829,29.85714999927851
temperatura_mean_ma14,81.91697692871094,5,2.785736888154836,32.64288688743334
temperatura_max,74.30579986572266,6,2.5269048669842262,35.16979175441757
humedad_min,74.2535186767578,7,2.5251269493642594,37.69491870378182
atenciones_min3_norm,69.81310729980468,8,2.374122624801285,40.06904132858311
atenciones_lag5,64.98744659423828,9,2.210017190967777,42.27905851955089
atenciones_min14_norm,57.95479125976563,10,1.9708588611386777,44.24991738068957
atenciones_lag7,56.31157531738281,11,1.9149782923295575,46.164895673019124
month,46.506369018554686,12,1.5815342871096805,47.74642996012881
temperatura_min,45.21872406005859,13,1.5377455610822195,49.284175521211026
atenciones_min7_norm,43.21094741821289,14,1.469467437742381,50.75364295895341
humedad_mean_std14,42.71200942993164,15,1.4525001373002955,52.206143096253705
atenciones_lag5_norm,37.2386287689209,16,1.2663677996340736,53.47251089588778
atenciones_trend_14_28,35.95393829345703,17,1.222679546215306,54.69519044210308
atenciones_lag2_norm,35.00576248168945,18,1.190435090495269,55.885625532598354
atenciones_ma7_norm,34.64589004516601,19,1.1781969689356082,57.06382250153396
humedad_mean,34.63759536743164,20,1.1779148932218022,58.241737394755766
atenciones_std7,33.913970947265625,21,1.1533067189946158,59.39504411375038
humedad_mean_lag2,33.22848663330078,22,1.1299955689588277,60.525039682709206
atenciones_ma3_norm,33.03263473510742,23,1.123335266322328,61.648374949031535
humedad_mean_lag1,31.313090896606447,24,1.0648590275582894,62.71323397658983
humedad_mean_lag3,29.294366455078126,25,0.996208604231764,63.70944258082159
atenciones_max7_norm,28.54587745666504,26,0.9707548644645853,64.68019744528617
atenciones_std14,28.337517547607423,27,0.9636692040015592,65.64386664928773
atenciones_lag7_norm,26.41131477355957,28,0.8981651494952386,66.54203179878297
atenciones_lag3_norm,26.10852165222168,29,0.8878681146287717,67.42989991341175
no2_mean_ma14,24.384697723388673,30,0.829246323551042,68.25914623696279
month_sin,24.22495880126953,31,0.8238141088318801,69.08296034579467
contaminacion_total_std14,23.275008392333984,32,0.7915093046837425,69.87446965047842
atenciones_lag10,23.10816822052002,33,0.7858355989578496,70.66030524943626
atenciones_lag1_norm,23.09620780944824,34,0.785428863265575,71.44573411270184
no2_mean_ma7,22.3093505859375,35,0.7586703417059653,72.20440445440781
atenciones_trend_7_14,21.77942810058594,36,0.7406493566714316,72.94505381107923
total_atenciones_norm,21.50551109313965,37,0.731334306964456,73.67638811804369
atenciones_lag10_norm,21.003911590576173,38,0.7142764968527959,74.39066461489648
atenciones_std3,20.802119064331055,39,0.7074141722750202,75.0980787871715
ozono_mean_std14,20.16901206970215,40,0.6858842089485973,75.7839629961201
humedad_mean_std7,20.15691223144531,41,0.6854727317794371,76.46943572789954
no2_min,18.64120750427246,42,0.6339284154686604,77.1033641433682
precipitacion_sum_lag7,18.54825782775879,43,0.6307674914170864,77.73413163478529
atenciones_vs_week,18.280467796325684,44,0.6216608007552406,78.35579243554052
dow_cos,17.863075065612794,45,0.6074665962033993,78.96325903174392
pm2_5_mean_lag1,17.759988021850585,46,0.6039609324049277,79.56721996414885
pm10_mean_ma3,17.698407936096192,47,0.6018667887622609,80.16908675291111
humedad_max,17.519313240051268,48,0.5957763454872433,80.76486309839835
pm2_5_mean_std7,17.376914978027344,49,0.5909338316860517,81.35579693008441
no2_mean_lag7,17.366671752929687,50,0.5905854920490428,81.94638242213345
temperatura_mean_std7,17.36393795013428,51,0.5904925240761312,82.53687494620958
atenciones_pct_change_14,17.05360221862793,52,0.5799389889313699,83.11681393514095
no2_mean_lag5,16.7816219329834,53,0.5706898009977108,83.68750373613867
no2_std,16.77407627105713,54,0.5704331969388008,84.25793693307747
atenciones_lag14,16.523122787475586,55,0.5618990639344486,84.81983599701192
atenciones_pct_change_7,16.205147171020506,56,0.5510857205042635,85.37092171751618
ozono_mean_std7,16.057231903076172,57,0.54605559080853,85.91697730832472
atenciones_lag14_norm,15.255179595947265,58,0.518780332590162,86.43575764091489
pm2_5_mean_lag2,15.25176544189453,59,0.5186642280262103,86.9544218689411
precipitacion_sum_ma14,15.203579711914063,60,0.5170255839926777,87.47144745293377
pm2_5_mean_lag3,15.16422119140625,61,0.5156871253904123,87.98713457832419
temperatura_mean_delta1,14.837346458435059,62,0.5045711511981998,88.4917057295224
precipitacion_sum_ma3,14.189505577087402,63,0.4825401350585848,88.97424586458098
precipitacion_sum_lag2,13.820413398742676,64,0.4699884792859465,89.44423434386692
temperatura_mean_std14,13.775644111633301,65,0.4684660176518275,89.91270036151874
atenciones_lag28_norm,13.704553413391114,66,0.4660484482062376,90.37874880972498
precipitacion_sum_lag3,13.503799629211425,67,0.45922144795557246,90.83797025768055
no2_mean_delta1,13.370208930969238,68,0.4546784514979335,91.29264870917848
humedad_std,13.297228622436524,69,0.452196622392284,91.74484533157076
pm2_5_mean,13.163189125061034,70,0.44763836369783055,92.19248369526859
pm2_5_std,13.109338569641114,71,0.44580707689617705,92.63829077216477
no2_mean_std7,12.893967819213866,72,0.4384829999271638,93.07677377209193
pm2_5_mean_lag5,12.467740440368653,73,0.4239883569788044,93.50076212907074
precipitacion_sum_lag5,12.266205024719238,74,0.4171347759179117,93.91789690498865
pm10_mean_delta1,12.152139663696289,75,0.413255774326595,94.33115267931525
ozono_std,12.011875343322753,76,0.4084858291210173,94.73963850843627
atenciones_std3_norm,11.709526634216308,77,0.3982039073067295,95.137842415743
atenciones_lag21_norm,11.590631866455078,78,0.3941606728908733,95.53200308863387
ozono_min,11.320807266235352,79,0.384984792989716,95.91698788162358
no2_mean_lag3,11.24102840423584,80,0.38227176661716733,96.29925964824075
atenciones_trend_3_7,11.140885353088379,81,0.37886621868152226,96.67812586692227
no2_mean_ma3,10.433859252929688,82,0.3548225007375071,97.03294836765978
pm2_5_mean_lag7,10.18387050628662,83,0.3463211753803319,97.37926954304011
precipitacion_max,10.161187362670898,84,0.3455497935217872,97.7248193365619
ozono_mean_delta1,9.932652854919434,85,0.33777805886642265,98.06259739542831
temperatura_std,9.249724388122559,86,0.314553825096386,98.3771512205247
atenciones_lag28,8.167113876342773,87,0.27773767109214675,98.65488889161684
no2_mean_lag1,7.793367004394531,88,0.265027723935225,98.91991661555205
no2_mean,7.368203353881836,89,0.2505692550177683,99.17048587056982
precipitacion_sum_ma7,5.162565040588379,90,0.1755624830196224,99.34604835358944
atenciones_lag21,4.943491744995117,91,0.16811249421846217,99.5141608478079
precipitacion_sum,4.128961181640625,92,0.14041289003457208,99.65457373784247
pm10_min,4.007788276672363,93,0.13629218338900423,99.79086592123147
dow,3.6559919357299804,94,0.12432870425654119,99.91519462548801
dow_sin,2.4937746047973635,95,0.08480537451197032,99.99999999999999
